datetime_et,open,high,low,close,volume,vwap,transactions,ret_log
2024-03-14 11:10:06-04:00,44.89,44.89,44.89,44.89,45,44.89,1,-0.005110554395962641
2024-03-14 11:20:19-04:00,44.97,44.97,44.93,44.93,3,44.9567,3,0.0008906702882276463
2024-03-14 11:20:35-04:00,44.6,44.6,44.6,44.6,10,44.6,6,-0.007371864056050281
2024-03-14 11:20:54-04:00,44.58,44.58,44.58,44.58,1,44.58,1,-0.00044853106829556566
2024-03-14 11:26:22-04:00,44.23,44.23,44.19,44.2,5,44.21,4,-0.008560538874070378
2024-03-14 11:32:19-04:00,44.25,44.25,44.21,44.21,5,44.226,4,0.00022621875449946316
2024-03-14 11:45:45-04:00,44.62,44.62,44.62,44.62,3,44.62,1,0.00923118116623467
2024-03-14 11:53:54-04:00,44.74,44.74,44.74,44.74,2,44.74,1,0.002685767057597044
2024-03-14 12:08:05-04:00,44.0,44.0,44.0,44.0,5,44.0,2,-0.016678322143722557
2024-03-14 12:10:45-04:00,43.97,43.97,43.97,43.97,4,43.97,1,-0.0006820507255422825
2024-03-14 12:41:56-04:00,44.54,44.54,44.54,44.54,1,44.54,1,0.012880078636502645
2024-03-14 13:00:54-04:00,43.85,43.85,43.85,43.85,7,43.85,4,-0.015612943011029223
2024-03-14 13:05:42-04:00,43.81,44.0,43.8,43.81,7521,43.8183,16,-0.0009126169923852068
2024-03-14 13:15:29-04:00,43.76,43.76,43.76,43.76,1,43.76,1,-0.001141943712081428
2024-03-14 13:27:25-04:00,43.44,43.44,43.44,43.44,3,43.44,1,-0.007339482488045501
2024-03-14 13:31:22-04:00,42.76,42.76,42.76,42.76,10,42.76,1,-0.01577758946883545
2024-03-14 13:41:34-04:00,43.45,43.45,43.45,43.45,5,43.45,1,0.01600776555455674
2024-03-14 13:55:56-04:00,44.45,44.45,44.45,44.45,6,44.45,1,0.022754110248512482
2024-03-14 14:20:52-04:00,44.98,44.98,44.98,44.98,1,44.98,1,0.011852984571255831
2024-03-14 14:30:07-04:00,44.67,44.67,44.67,44.67,1,44.67,1,-0.006915811167142127
2024-03-14 14:49:39-04:00,44.85,44.85,44.85,44.85,1,44.85,1,0.00402145314077762
2024-03-14 14:55:09-04:00,44.1,44.1,44.1,44.1,5,44.1,1,-0.016863806052004993
2024-03-14 14:57:02-04:00,43.65,43.65,43.65,43.65,1800,43.65,1,-0.010256500167189042
2024-03-14 14:57:03-04:00,44.1,44.1,44.1,44.1,1800,44.1,1,0.010256500167189042
2024-03-14 14:57:04-04:00,44.1,44.1,44.09,44.09,3600,44.0992,2,-0.00022678308295365213
2024-03-14 14:57:06-04:00,44.11,44.11,44.1,44.1,3600,44.1092,2,0.00022678308295365213
2024-03-14 14:57:07-04:00,44.2,44.2,44.19,44.19,3600,44.1992,2,0.0020387366898484416
2024-03-14 14:57:09-04:00,44.2,44.2,44.19,44.19,3600,44.1992,2,0.0
2024-03-14 14:57:12-04:00,44.15,44.15,44.15,44.15,1800,44.15,1,-0.0009055920926797079
2024-03-14 14:57:15-04:00,44.15,44.15,44.15,44.15,3600,44.15,1,0.0
2024-03-14 15:04:21-04:00,43.63,43.63,43.63,43.63,50,43.63,1,-0.011847939914450656
2024-03-14 15:05:16-04:00,43.16,43.17,43.16,43.17,25815,43.1665,2,-0.010599177568132223
2024-03-14 15:06:01-04:00,43.39,43.39,43.39,43.39,1,43.39,1,0.005083190242873403
2024-03-14 15:07:15-04:00,43.32,43.32,43.32,43.32,1,43.32,1,-0.0016145776774694198
2024-03-14 15:08:06-04:00,43.14,43.14,43.14,43.14,3,43.14,1,-0.004163781171779846
2024-03-14 15:18:14-04:00,42.85,42.85,42.85,42.85,1,42.85,1,-0.006744995917221441
2024-03-14 15:29:18-04:00,42.75,42.75,42.75,42.75,95,42.75,1,-0.002336449661019646
2024-03-14 15:32:37-04:00,42.42,42.42,42.42,42.42,11,42.42,1,-0.007749246246232744
2024-03-14 15:36:38-04:00,42.29,42.29,42.28,42.28,3600,42.2892,2,-0.0033057881344995543
2024-03-14 15:38:45-04:00,42.37,42.37,42.37,42.37,30,42.37,1,0.002126403636431018
2024-03-14 15:47:02-04:00,42.96,42.97,42.96,42.97,10,42.969,6,0.014061633148435781
2024-03-14 15:50:25-04:00,43.58,43.58,43.58,43.58,1,43.58,1,0.01409613172957025
2024-03-14 15:55:54-04:00,44.2,44.2,44.2,44.2,1,44.2,1,0.014126459567178618
2024-03-15 09:30:01-04:00,40.27,40.27,40.27,40.27,1,40.27,1,-0.09311801422028942
2024-03-15 09:40:38-04:00,39.09,39.09,39.09,39.09,2,39.09,1,-0.029740095058499616
2024-03-15 09:49:56-04:00,39.56,39.56,39.56,39.56,1,39.56,1,0.011951826949648137
2024-03-15 10:38:11-04:00,41.0,41.0,41.0,41.0,25,41.0,1,0.035753559949796454
2024-03-15 11:34:50-04:00,40.4,40.4,40.4,40.4,4,40.4,1,-0.014742281737203378
2024-03-15 11:37:00-04:00,40.15,40.15,40.15,40.15,2,40.15,1,-0.006207344574333806
2024-03-15 13:48:43-04:00,39.0,39.0,39.0,39.0,1,39.0,1,-0.029060794263124468
2024-03-15 14:06:51-04:00,39.5,39.5,39.5,39.5,1,39.5,1,0.012739025777429802
2024-03-15 15:25:10-04:00,40.0,40.0,40.0,40.0,1,40.0,1,0.01257878220686015
2024-03-15 15:48:44-04:00,39.77,39.77,39.77,39.77,1,39.77,1,-0.005766594894336841
2024-03-15 15:56:27-04:00,39.51,39.51,39.51,39.51,1,39.51,1,-0.0065590547963001455
